feature,spearman_rho,p_value
Q4_social_proof_count,0.4789158354905476,3.377719657340565e-16
active_ingredient_count,0.43173055038698815,3.8754094752325704e-13
T7_eat_score,0.3634684836253744,1.7783471918887462e-09
skin_type_targets_count,0.33525624729920456,3.401155233577401e-08
claim_keyword_count,0.32041428702466207,1.432882072665744e-07
image_count,0.310398049617907,3.6235021536275906e-07
cosmetic_cert_count,0.29489821372248276,1.4254372292565582e-06
text_length,0.2781748489889775,5.724814942696002e-06
jsonld_field_count,0.24357086488372146,7.716857132590398e-05
ambiguous_term_count,0.24090266186053644,9.291131421562272e-05
numeric_specificity_ratio,-0.22894860427037328,0.0002080902941670417
paragraph_count,0.22894473934212223,0.0002081431623043317
list_item_count,0.22868323200540325,0.00021174957971010762
texture_keyword_count,0.19119701104187942,0.0020377596572255336
price_krw,-0.1819165560148343,0.003364283984960311
explicit_number_count,0.16524372936529722,0.007822715722457263
no_list_count,0.12029252604664352,0.05362976486187669
table_count,0.10080841910268455,0.10620718201777785
section_count,0.08405279952738347,0.17832993549821607
Q9_external_authority_count,0.032620448955805556,0.6019791060778155
