trial_brand,exposure_count
메디필,420
라곰,306
아누아,293
믹순,261
스킨푸드,256
메디큐브,244
리얼베리어,243
아임프롬,228
은율,225
더후,223
토리든,208
숨37,199
바닐라코,175
에뛰드,168
듀이트리,165
스킨1004,161
벤튼,155
아비브,145
아로마티카,139
와더스킨,138
라운드랩,137
설화수,121
비플레인,118
일리윤,117
편강율,115
나인위시스,110
그레이멜린,105
퐁당,103
네오팜,100
비알엠유디,99
메디힐,93
이아소,90
코스알엑스,80
일소,80
구달,78
수이스킨,76
원씽,75
피캄,75
유이크,75
테라비코스,74
닥터지,71
베네투스,70
이니스프리,70
파파레서피,69
메이크프렘,67
피지오겔,66
제이준,52
일루미엘,52
엘리메르,52
퓨어케이,51
비욘드,46
메디팜,45
에이프릴스킨,44
제이엠솔루션,44
식물나라,44
리쥬란,43
땡큐파머,42
페이스인페이스,41
에스트라,41
잇츠스킨,41
비알머드,41
닥터벨머,40
스킨바리스타,40
이즈앤트리,39
오드로이,39
닥터오라클,39
빌리프,39
아크웰,39
실크크리스탈,38
아이소이,38
지피덤,38
헉슬리,37
웰라쥬,37
휩드,37
블랑네이처,36
아페리레,36
성분에디터,35
시드물,35
맥스클리닉,35
헤밀르,35
파티온,35
주미소,35
션리,35
바노바기,34
멜릭서,34
김소형풀,34
셀리맥스,34
오휘,33
바이오던스,33
센텔리안24,32
라로슈포제,32
미샤,32
비레디,31
넘버즈인,31
더마겐,30
메디섹션넘버,30
아토팜,30
네이처리퍼블릭,29
달바,29
블라이드,29
볼드포뮬러,29
토니모리,29
셀퓨전씨,28
앰플엔,27
티엘스,26
유리피부,26
클럽클리오,26
언리시아,24
스트라이덱스,22
조선미녀,22
이디케이,22
