brand_ko,appearances,avg_rank,top1_rate
아토팜,37,1.0,1.0
피지오겔,91,1.065934065934066,0.9340659340659341
네오팜,129,1.1317829457364341,0.8682170542635659
스킨1004,56,1.2678571428571428,0.75
리얼베리어,308,1.2727272727272727,0.7792207792207793
맥스클리닉,46,1.2826086956521738,0.717391304347826
빌리프,48,1.2916666666666667,0.7291666666666666
셀리맥스,50,1.32,0.74
아비브,193,1.3264248704663213,0.7253886010362695
베네투스,85,1.3647058823529412,0.7176470588235294
토니모리,34,1.3823529411764706,0.6764705882352942
웰라쥬,58,1.4482758620689655,0.6206896551724138
유이크,90,1.4666666666666666,0.6333333333333333
닥터오라클,49,1.489795918367347,0.5510204081632653
지피덤,51,1.4901960784313726,0.5294117647058824
휩드,53,1.490566037735849,0.6037735849056604
에스트라,52,1.5,0.5961538461538461
시드물,54,1.5185185185185186,0.5370370370370371
비플레인,156,1.544871794871795,0.5448717948717948
편강율,144,1.5625,0.5763888888888888
달바,36,1.5833333333333333,0.5555555555555556
리쥬란,49,1.6122448979591837,0.5102040816326531
땡큐파머,41,1.6341463414634145,0.3902439024390244
토리든,257,1.6342412451361867,0.5291828793774319
파티온,39,1.641025641025641,0.46153846153846156
듀이트리,197,1.6446700507614214,0.5177664974619289
조선미녀,26,1.6538461538461537,0.46153846153846156
메디팜,47,1.6595744680851063,0.46808510638297873
일리윤,153,1.6797385620915033,0.5032679738562091
원씽,103,1.6990291262135921,0.46601941747572817
라운드랩,164,1.7195121951219512,0.45121951219512196
그레이멜린,139,1.7482014388489209,0.41007194244604317
비레디,44,1.75,0.4318181818181818
일루미엘,63,1.7619047619047619,0.4126984126984127
아누아,379,1.7810026385224274,0.44327176781002636
오드로이,55,1.7818181818181817,0.36363636363636365
스킨바리스타,57,1.8070175438596492,0.38596491228070173
아로마티카,188,1.8138297872340425,0.3882978723404255
코스알엑스,116,1.8189655172413792,0.4051724137931034
벤튼,189,1.8624338624338623,0.3439153439153439
넘버즈인,33,1.878787878787879,0.30303030303030304
닥터벨머,54,1.9074074074074074,0.3888888888888889
티엘스,42,1.9285714285714286,0.38095238095238093
바닐라코,218,1.9311926605504588,0.3348623853211009
제이엠솔루션,59,1.9322033898305084,0.288135593220339
에이프릴스킨,60,1.9333333333333333,0.35
라로슈포제,48,1.9375,0.3333333333333333
비욘드,50,1.94,0.3
메디섹션넘버,35,1.9428571428571428,0.3142857142857143
제이준,84,1.9523809523809523,0.30952380952380953
센텔리안24,42,1.9523809523809523,0.3333333333333333
메디필,448,1.953125,0.31919642857142855
바이오던스,47,1.9574468085106382,0.3191489361702128
닥터지,89,1.9775280898876404,0.3258426966292135
파파레서피,101,1.9801980198019802,0.3069306930693069
라곰,403,2.009925558312655,0.3200992555831266
오휘,47,2.021276595744681,0.2765957446808511
메디큐브,293,2.0273037542662116,0.24573378839590443
이니스프리,97,2.0412371134020617,0.24742268041237114
아이소이,53,2.056603773584906,0.2830188679245283
나인위시스,151,2.0728476821192054,0.25165562913907286
볼드포뮬러,33,2.090909090909091,0.24242424242424243
바노바기,40,2.1,0.25
성분에디터,46,2.108695652173913,0.21739130434782608
아임프롬,254,2.1141732283464565,0.23622047244094488
수이스킨,105,2.1142857142857143,0.26666666666666666
이아소,102,2.127450980392157,0.2647058823529412
메디힐,124,2.1370967741935485,0.22580645161290322
셀퓨전씨,42,2.142857142857143,0.23809523809523808
미샤,35,2.142857142857143,0.14285714285714285
은율,276,2.181159420289855,0.2644927536231884
구달,108,2.185185185185185,0.19444444444444445
이디케이,28,2.2142857142857144,0.21428571428571427
블라이드,46,2.217391304347826,0.15217391304347827
숨37,258,2.2325581395348837,0.21705426356589147
이즈앤트리,48,2.3125,0.20833333333333334
믹순,308,2.314935064935065,0.1590909090909091
스킨푸드,293,2.31740614334471,0.13993174061433447
와더스킨,192,2.3385416666666665,0.1875
블랑네이처,49,2.3469387755102042,0.16326530612244897
비알머드,46,2.347826086956522,0.13043478260869565
에뛰드,221,2.3484162895927603,0.17194570135746606
엘리메르,54,2.3518518518518516,0.1111111111111111
비알엠유디,125,2.376,0.2
스트라이덱스,28,2.4285714285714284,0.17857142857142858
주미소,44,2.4318181818181817,0.06818181818181818
클럽클리오,30,2.433333333333333,0.1
헉슬리,56,2.4642857142857144,0.10714285714285714
더마겐,34,2.4705882352941178,0.08823529411764706
네이처리퍼블릭,38,2.473684210526316,0.10526315789473684
피캄,84,2.4761904761904763,0.13095238095238096
앰플엔,38,2.5,0.02631578947368421
션리,46,2.5217391304347827,0.08695652173913043
멜릭서,43,2.5348837209302326,0.046511627906976744
아페리레,38,2.5526315789473686,0.05263157894736842
퓨어케이,71,2.563380281690141,0.056338028169014086
퐁당,143,2.5944055944055946,0.11188811188811189
식물나라,68,2.6029411764705883,0.10294117647058823
메이크프렘,85,2.611764705882353,0.03529411764705882
페이스인페이스,57,2.6666666666666665,0.017543859649122806
잇츠스킨,53,2.6792452830188678,0.09433962264150944
더후,255,2.7333333333333334,0.03137254901960784
헤밀르,42,2.738095238095238,0.0
설화수,138,2.7753623188405796,0.028985507246376812
김소형풀,50,2.82,0.0
일소,93,2.849462365591398,0.010752688172043012
언리시아,30,2.8666666666666667,0.0
아크웰,48,2.8958333333333335,0.0
유리피부,48,2.9166666666666665,0.0
실크크리스탈,54,3.0,0.0
