brand_ko,product_count
메디필,20
라곰,14
바닐라코,12
믹순,11
메디큐브,10
아누아,10
아임프롬,10
리얼베리어,8
숨37,8
스킨푸드,7
토리든,7
듀이트리,7
은율,7
더후,6
아로마티카,6
벤튼,6
메이크프렘,6
아비브,5
라운드랩,4
비플레인,4
설화수,4
스킨1004,4
편강율,4
에뛰드,4
퐁당,4
와더스킨,4
네오팜,4
비알엠유디,4
메디힐,3
일리윤,3
코스알엑스,3
엘리메르,3
이아소,3
나인위시스,3
수이스킨,3
그레이멜린,3
닥터지,2
이니스프리,2
제이준,2
파파레서피,2
피캄,2
퓨어케이,2
주미소,2
테라비코스,2
유이크,2
원씽,2
피지오겔,2
닥터벨머,2
베네투스,2
일소,2
구달,2
헤밀르,2
더페이스샵,2
네이처리퍼블릭,1
닥터오라클,1
달바,1
리쥬란,1
멜릭서,1
미샤,1
바이오던스,1
비레디,1
비욘드,1
빌리프,1
셀퓨전씨,1
아토팜,1
언리시아,1
에스트라,1
에이프릴스킨,1
오휘,1
잇츠스킨,1
제이엠솔루션,1
조선미녀,1
클럽클리오,1
토니모리,1
헉슬리,1
아이소이,1
블랑네이처,1
휩드,1
라로슈포제,1
션리,1
식물나라,1
성분에디터,1
이즈앤트리,1
스트라이덱스,1
셀리맥스,1
아크웰,1
블라이드,1
맥스클리닉,1
웰라쥬,1
넘버즈인,1
땡큐파머,1
지피덤,1
메디팜,1
실크크리스탈,1
스킨바리스타,1
페이스인페이스,1
메디섹션넘버,1
센텔리안24,1
파티온,1
볼드포뮬러,1
시드물,1
오드로이,1
앰플엔,1
더마겐,1
일루미엘,1
티엘스,1
바노바기,1
비알머드,1
유리피부,1
아페리레,1
김소형풀,1
이디케이,1
수려한,1
비페스타,1
헤라,1
센카,1
앙쥬,1
뷰니오,1
온더바디,1
포인트앤,1
폴라초이스,1
프리메이,1
